A,B,Du,Dv
3.5,7.0,1,9.666666666666666
3.5,7.0,1,11.0
3.5,7.0,1,12.333333333333332
3.5,7.0,1,13.666666666666666
3.5,7.0,1,15.0
3.5,7.0,2,14.0
3.5,7.0,2,16.666666666666668
3.5,7.0,2,19.333333333333332
3.5,7.0,2,22.0
3.5,7.0,2,24.666666666666664
3.5,7.0,2,27.333333333333332
3.5,7.0,2,30.0
4.25,4.675000000000001,1,7.0
4.25,4.675000000000001,1,8.333333333333334
4.25,4.675000000000001,1,9.666666666666666
4.25,4.675000000000001,1,11.0
4.25,4.675000000000001,1,12.333333333333332
4.25,4.675000000000001,1,13.666666666666666
4.25,4.675000000000001,1,15.0
4.25,4.675000000000001,2,14.0
4.25,4.675000000000001,2,16.666666666666668
4.25,4.675000000000001,2,19.333333333333332
4.25,4.675000000000001,2,22.0
4.25,4.675000000000001,2,24.666666666666664
4.25,4.675000000000001,2,27.333333333333332
4.25,4.675000000000001,2,30.0
4.25,5.3125,1,7.0
4.25,5.3125,1,8.333333333333334
4.25,5.3125,1,9.666666666666666
4.25,5.3125,1,11.0
4.25,5.3125,1,12.333333333333332
4.25,5.3125,1,13.666666666666666
4.25,5.3125,1,15.0
4.25,5.3125,2,14.0
4.25,5.3125,2,16.666666666666668
4.25,5.3125,2,19.333333333333332
4.25,5.3125,2,22.0
4.25,5.3125,2,24.666666666666664
4.25,5.3125,2,27.333333333333332
4.25,5.3125,2,30.0
4.25,5.95,1,7.0
4.25,5.95,1,8.333333333333334
4.25,5.95,1,9.666666666666666
4.25,5.95,1,11.0
4.25,5.95,1,12.333333333333332
4.25,5.95,1,13.666666666666666
4.25,5.95,1,15.0
4.25,5.95,2,14.0
4.25,5.95,2,16.666666666666668
4.25,5.95,2,19.333333333333332
4.25,5.95,2,22.0
4.25,5.95,2,24.666666666666664
4.25,5.95,2,27.333333333333332
4.25,5.95,2,30.0
4.25,6.5875,1,7.0
4.25,6.5875,1,8.333333333333334
4.25,6.5875,1,9.666666666666666
4.25,6.5875,1,11.0
4.25,6.5875,1,12.333333333333332
4.25,6.5875,1,13.666666666666666
4.25,6.5875,1,15.0
4.25,6.5875,2,14.0
4.25,6.5875,2,16.666666666666668
4.25,6.5875,2,19.333333333333332
4.25,6.5875,2,22.0
4.25,6.5875,2,24.666666666666664
4.25,6.5875,2,27.333333333333332
4.25,6.5875,2,30.0
4.25,7.2250000000000005,1,7.0
4.25,7.2250000000000005,1,8.333333333333334
4.25,7.2250000000000005,1,9.666666666666666
4.25,7.2250000000000005,1,11.0
4.25,7.2250000000000005,1,12.333333333333332
4.25,7.2250000000000005,1,13.666666666666666
4.25,7.2250000000000005,1,15.0
4.25,7.2250000000000005,2,14.0
4.25,7.2250000000000005,2,16.666666666666668
4.25,7.2250000000000005,2,19.333333333333332
4.25,7.2250000000000005,2,22.0
4.25,7.2250000000000005,2,24.666666666666664
4.25,7.2250000000000005,2,27.333333333333332
4.25,7.2250000000000005,2,30.0
4.25,7.862500000000001,1,7.0
4.25,7.862500000000001,1,8.333333333333334
4.25,7.862500000000001,1,9.666666666666666
4.25,7.862500000000001,1,11.0
4.25,7.862500000000001,1,12.333333333333332
4.25,7.862500000000001,1,13.666666666666666
4.25,7.862500000000001,1,15.0
4.25,7.862500000000001,2,14.0
4.25,7.862500000000001,2,16.666666666666668
4.25,7.862500000000001,2,19.333333333333332
4.25,7.862500000000001,2,22.0
4.25,7.862500000000001,2,24.666666666666664
4.25,7.862500000000001,2,27.333333333333332
4.25,7.862500000000001,2,30.0
4.25,8.5,1,7.0
4.25,8.5,1,8.333333333333334
4.25,8.5,1,9.666666666666666
4.25,8.5,1,11.0
4.25,8.5,1,12.333333333333332
4.25,8.5,1,13.666666666666666
4.25,8.5,1,15.0
4.25,8.5,2,14.0
4.25,8.5,2,16.666666666666668
4.25,8.5,2,19.333333333333332
4.25,8.5,2,22.0
4.25,8.5,2,24.666666666666664
4.25,8.5,2,27.333333333333332
4.25,8.5,2,30.0
5.0,5.5,1,7.0
5.0,5.5,1,8.333333333333334
5.0,5.5,1,9.666666666666666
5.0,5.5,1,11.0
5.0,5.5,1,12.333333333333332
5.0,5.5,1,13.666666666666666
5.0,5.5,1,15.0
5.0,5.5,2,14.0
5.0,5.5,2,16.666666666666668
5.0,5.5,2,19.333333333333332
5.0,5.5,2,22.0
5.0,5.5,2,24.666666666666664
5.0,5.5,2,27.333333333333332
5.0,5.5,2,30.0
5.0,6.25,1,7.0
5.0,6.25,1,8.333333333333334
5.0,6.25,1,9.666666666666666
5.0,6.25,1,11.0
5.0,6.25,1,12.333333333333332
5.0,6.25,1,13.666666666666666
5.0,6.25,1,15.0
5.0,6.25,2,14.0
5.0,6.25,2,16.666666666666668
5.0,6.25,2,19.333333333333332
5.0,6.25,2,22.0
5.0,6.25,2,24.666666666666664
5.0,6.25,2,27.333333333333332
5.0,6.25,2,30.0
5.0,7.000000000000001,1,7.0
5.0,7.000000000000001,1,8.333333333333334
5.0,7.000000000000001,1,9.666666666666666
5.0,7.000000000000001,1,11.0
5.0,7.000000000000001,1,12.333333333333332
5.0,7.000000000000001,1,13.666666666666666
5.0,7.000000000000001,1,15.0
5.0,7.000000000000001,2,14.0
5.0,7.000000000000001,2,16.666666666666668
5.0,7.000000000000001,2,19.333333333333332
5.0,7.000000000000001,2,22.0
5.0,7.000000000000001,2,24.666666666666664
5.0,7.000000000000001,2,27.333333333333332
5.0,7.000000000000001,2,30.0
